a,b,c,result
22,30,87,47
82,18,21,197
43,83,24,311
34,62,10,244
40,23,89,60
89,89,45,400
65,31,11,212
50,48,78,166
91,69,19,370
72,16,83,109
78,71,4,365
4,64,15,185
88,80,14,402
29,15,62,41
43,80,92,234
9,38,61,71
26,8,54,22
84,61,71,280
15,100,16,314
74,95,86,347
32,38,11,167
84,56,22,314
25,15,9,86
9,58,34,158
97,37,65,240
57,39,34,197
38,45,4,207
45,65,19,266
78,7,46,131
69,13,24,153
98,13,66,169
22,14,77,9
31,3,64,7
78,27,29,208
89,39,34,261
95,98,40,444
18,67,25,212
52,63,31,262
57,20,96,78
68,58,14,296
15,20,21,69
83,63,84,271
25,36,75,83
29,57,30,199
58,49,59,204
72,60,83,241
63,46,49,215
38,96,80,284
32,21,16,111
28,60,15,221
45,41,88,125
26,43,23,158
6,5,11,16
5,23,52,27
6,91,43,242
75,68,42,312
14,46,22,144
3,93,62,223
67,44,52,214
72,87,99,306
71,40,51,211
32,1,96,-29
88,38,43,247
31,31,29,126
47,26,67,105
17,9,92,-31
75,12,59,127
93,9,73,140
51,30,19,173
53,29,99,94
19,91,11,300
29,64,47,203
17,86,15,277
64,57,45,254
16,67,22,211
67,75,7,352
41,28,58,108
33,72,38,244
39,39,68,127
6,36,37,83
48,62,57,225
87,84,70,356
19,33,56,81
83,80,21,385
25,58,81,143
99,56,62,304
3,24,31,47
69,22,18,186
15,2,30,6
89,38,68,224
20,94,10,312
19,5,3,50
54,78,78,264
64,16,4,172
24,43,31,146
50,51,63,190
69,85,76,317
25,8,32,42
48,62,32,250
25,62,7,229
6,27,99,-6
82,68,80,288
82,40,84,200
21,66,55,185
10,97,60,251
17,42,65,95
34,11,73,28
52,36,52,160
20,9,85,-18
74,84,70,330
57,100,28,386
12,9,86,-35
93,95,10,461
3,8,86,-56
100,3,73,136
17,83,79,204
10,69,32,195
42,71,64,233
4,92,56,228
22,69,72,179
11,70,87,145
53,83,67,288
4,69,53,162
44,90,79,279
33,80,21,285
35,10,7,93
3,23,7,68
37,63,87,176
12,78,1,257
10,46,77,81
42,70,5,289
10,32,53,63
96,13,89,142
34,38,49,133
53,74,26,302
86,86,20,410
65,12,90,76
9,86,10,266
57,96,86,316
70,60,62,258
4,16,93,-37
4,16,61,-5
34,46,34,172
63,15,6,165
99,17,51,198
68,95,60,361
81,23,79,152
96,89,38,421
68,99,15,418
75,96,19,419
26,44,5,179
32,78,35,263
34,33,86,81
17,3,95,-52
58,85,38,333
19,98,29,303
6,15,83,-26
79,71,91,280
52,23,86,87
70,84,31,361
30,28,57,87
53,15,1,150
81,66,80,280
36,70,94,188
81,42,37,251
41,98,22,354
34,13,35,72
82,41,74,213
27,97,73,272
41,92,16,342
88,77,40,367
38,54,17,221
21,75,80,187
74,23,68,149
93,67,5,382
68,36,35,209
88,45,3,308
48,94,84,294
55,37,55,166
50,56,98,170
38,64,65,203
47,13,40,93
24,23,10,107
29,19,70,45
78,3,38,127
43,2,9,83
48,45,20,211
91,98,97,379
57,47,16,239
65,13,25,144
26,59,95,134
2,85,22,237
41,86,75,265
62,31,41,176
17,69,67,174
58,98,46,364
6,27,14,79
93,55,23,328
13,55,31,160
9,16,74,-8
61,97,80,333
50,32,10,186
55,93,32,357
29,20,82,36
30,23,53,76
11,73,27,214
28,8,98,-18
12,9,96,-45
99,96,30,456
31,48,64,142
36,95,86,271
16,66,63,167
9,51,100,71
38,17,26,101
51,83,29,322
27,67,10,245
47,49,65,176
83,95,44,407
11,98,82,234
63,89,92,301
70,100,52,388
93,25,18,243
36,51,60,165
16,22,6,92
59,87,64,315
48,80,73,263
37,30,52,112
81,77,24,369
35,44,82,120
30,6,29,49
77,57,4,321
32,23,38,95
31,2,44,24
33,91,51,288
47,30,68,116
6,59,49,140
28,37,53,114
45,67,73,218
17,25,26,83
28,19,92,21
84,38,54,228
100,60,25,355
7,63,15,188
84,40,43,245
26,11,93,-8
50,100,51,349
17,14,7,69
66,93,5,406
90,86,89,349
56,48,13,243
23,36,26,128
72,33,53,190
43,86,13,331
55,43,92,147
4,9,40,-5
3,6,68,-44
9,75,93,150
60,60,36,264
89,46,8,308
17,34,37,99
27,6,25,47
26,77,42,241
72,63,68,265
80,57,39,292
7,2,34,-14
89,60,66,292
48,15,46,95
76,84,38,366
32,44,30,166
61,78,74,282
100,22,68,198
14,70,74,164
56,98,4,402
97,87,10,445
67,94,94,322
69,86,77,319
87,68,33,345
83,51,83,236
56,9,88,51
81,23,67,164
8,60,97,99
2,88,84,184
8,33,34,81
62,68,6,322
22,40,60,104
46,56,19,241
43,59,45,218
78,16,79,125
45,10,95,25
79,7,27,152
5,83,93,166
44,46,76,150
5,81,86,167
10,63,63,146
39,2,58,26
7,64,87,119
83,78,19,381
82,80,100,304
52,89,58,313
83,14,14,194
17,61,85,132
44,40,59,149
69,1,44,97
44,4,58,42
56,58,35,251
41,49,95,134
94,54,56,294
13,53,77,108
92,89,45,406
84,5,55,128
90,94,23,439
55,96,47,351
98,4,10,198
31,34,29,135
74,70,56,302
70,92,27,389
90,37,21,270
50,46,2,236
95,45,32,293
59,35,92,131
90,85,36,399
79,37,94,175
49,96,38,348
2,24,28,48
98,37,92,215
77,17,89,116
32,10,42,52
92,99,16,465
11,89,18,271
82,65,10,349
90,74,93,309
60,90,54,336
60,69,99,228
60,75,5,340
70,17,85,106
67,18,52,136
9,19,48,27
68,92,50,362
57,65,66,243
26,18,10,96
30,73,21,258
98,21,23,236
51,57,20,253
68,36,37,207
17,9,3,58
41,96,97,273
89,72,22,372
23,34,96,52
16,41,76,79
28,44,76,112
63,90,27,369
4,50,40,118
59,37,93,136
5,7,39,-8
52,17,14,141
62,16,70,102
32,58,73,165
81,100,87,375
65,34,1,231
56,56,83,197
63,86,98,286
46,100,79,313
33,37,9,168
28,40,31,145
80,82,65,341
56,67,54,259
66,82,28,350
27,72,69,201
42,56,1,251
52,9,78,53
6,74,16,218
77,32,94,156
19,83,89,198
13,42,72,80
100,84,7,445
74,41,81,190
18,28,40,80
27,31,81,66
5,97,19,282
63,19,97,86
49,71,8,303
34,44,92,108
36,53,18,213
9,62,79,125
71,93,97,324
87,91,10,437
100,15,62,183
93,23,41,214
7,12,48,2
76,57,79,244
98,67,57,340
60,48,69,195
73,2,53,99
75,47,65,226
21,49,85,104
43,25,49,112
33,18,13,107
93,70,97,299
57,19,27,144
69,45,71,202
40,32,91,85
60,22,94,92
39,91,56,295
52,69,66,245
34,39,18,167
14,5,74,-31
28,18,62,48
47,21,1,156
26,56,35,185
58,11,53,96
56,3,3,118
74,63,9,328
42,9,56,55
93,22,32,220
96,6,18,192
30,45,77,118
70,44,11,261
38,78,52,258
96,99,90,399
66,54,74,220
94,39,59,246
25,55,93,122
24,51,50,151
90,81,97,326
98,21,21,238
29,11,38,53
71,67,69,274
72,41,63,204
35,49,23,194
46,86,8,342
13,28,46,64
63,42,42,210
42,70,98,196
86,16,63,157
63,4,80,58
74,36,3,253
92,75,60,349
91,38,29,267
53,92,69,313
15,86,91,197
79,95,38,405
46,19,9,140
53,88,74,296
29,27,65,74
27,72,77,193
68,25,31,180
61,58,29,267
78,44,20,268
23,54,40,168
100,49,76,271
83,70,14,362
87,82,54,366
29,22,37,87
92,83,30,403
98,84,100,348
28,34,100,58
42,28,29,139
39,4,86,4
67,61,88,229
93,57,7,350
19,51,24,167
48,45,49,182
35,72,100,186
55,4,57,65
97,70,60,344
81,92,78,360
14,39,58,87
64,11,91,70
92,46,15,307
45,87,81,270
98,38,14,296
54,20,9,159
13,87,28,259
69,45,88,185
79,32,49,205
72,76,84,288
14,66,16,210
13,14,66,2
61,4,44,90
47,47,49,186
29,13,67,30
52,25,50,129
7,95,57,242
98,66,91,303
4,98,40,262
41,100,49,333
28,40,26,150
3,69,12,201
4,33,22,85
86,19,67,162
45,94,57,315
96,1,30,165
98,37,55,252
16,80,8,264
52,45,68,171
2,71,34,183
73,53,8,297
60,69,89,238
17,19,24,67
50,55,28,237
68,93,72,343
18,71,50,199
69,67,99,240
61,41,54,191
52,47,47,198
79,33,82,175
47,48,73,165
98,6,77,137
77,58,6,322
82,5,72,107
22,34,51,95
42,52,3,237
15,94,10,302
47,4,21,85
64,75,16,337
76,73,63,308
83,21,14,215
17,10,95,-31
31,55,92,135
74,55,11,302
29,50,20,188
81,78,54,342
4,61,49,142
41,28,56,110
78,24,47,181
17,41,30,127
97,83,71,372
34,88,17,315
73,46,40,244
15,59,71,136
84,16,41,175
29,74,88,192
14,77,58,201
64,3,47,90
78,64,70,278
24,89,63,252
72,31,22,215
34,48,39,173
14,53,96,91
99,68,78,324
70,94,68,354
50,55,67,198
67,7,73,82
96,84,19,425
17,43,19,144
12,52,94,86
66,45,13,254
79,62,80,264
94,80,89,339
7,59,40,151
98,7,11,206
24,62,27,207
50,37,28,183
11,11,26,29
40,39,95,102
99,9,31,194
92,48,65,263
56,49,75,184
23,15,70,21
11,16,18,52
52,31,37,160
31,44,5,189
31,81,56,249
67,20,69,125
58,58,48,242
20,80,38,242
62,10,46,108
16,91,7,298
85,82,26,390
91,5,80,117
1,74,68,156
38,31,91,78
83,52,61,261
10,26,93,5
72,80,39,345
96,82,4,434
3,54,71,97
20,29,98,29
48,52,53,199
57,96,80,322
80,97,92,359
41,75,100,207
19,27,80,39
97,36,83,219
56,49,47,212
33,97,68,289
82,99,29,432
63,67,58,269
7,92,54,236
81,45,78,219
60,13,59,100
84,98,11,451
78,89,84,339
37,77,61,244
71,57,52,261
29,59,31,204
4,82,21,233
23,41,75,94
14,77,18,241
14,24,41,59
95,84,2,440
38,75,73,228
82,9,23,168
62,82,57,313
50,47,59,182
92,100,66,418
26,77,18,265
70,70,79,271
58,80,69,287
69,79,77,298
78,55,55,266
2,41,1,126
63,94,32,376
92,1,6,181
69,61,64,257
73,72,35,327
100,27,68,213
37,34,38,138
1,23,7,64
52,95,81,308
26,20,45,67
16,12,75,-7
25,96,19,319
39,59,94,161
28,17,17,90
42,50,9,225
28,8,21,59
22,92,29,291
99,83,44,403
3,72,91,131
27,65,26,223
18,1,27,12
63,16,60,114
90,21,16,227
94,71,95,306
56,81,37,318
75,56,27,291
21,95,23,304
92,90,34,420
76,70,20,342
64,81,44,327
51,83,35,316
61,81,81,284
93,76,16,398
72,89,26,385
9,75,27,216
37,38,42,146
88,85,51,380
88,90,36,410
12,46,87,75
10,81,7,256
33,26,21,123
81,73,12,369
52,22,87,83
79,36,27,239
9,100,64,254
22,12,98,-18
59,60,19,279
93,58,8,352
48,40,53,163
83,58,40,300
90,35,96,189
20,59,45,172
96,85,73,374
67,100,71,363
12,32,76,44
65,41,44,209
14,87,62,227
86,5,75,112
84,76,63,333
41,2,17,71
53,46,21,223
26,78,21,265
51,78,78,258
24,58,59,163
10,59,89,108
91,45,100,217
30,88,80,244
68,38,15,235
21,66,99,141
77,23,73,150
99,62,27,357
74,63,86,251
8,53,25,150
4,37,1,118
38,15,94,27
8,55,46,135
37,3,48,35
28,40,6,170
93,30,38,238
73,69,4,349
83,34,52,216
99,15,41,202
69,8,9,153
68,65,30,301
85,89,94,343
69,100,75,363
49,85,57,296
11,8,26,20
84,72,28,356
100,58,30,344
86,58,100,246
2,13,79,-36
62,12,19,141
37,72,33,257
59,49,62,203
37,30,10,154
14,97,47,272
88,47,48,269
69,97,78,351
80,53,3,316
72,12,39,141
17,74,7,249
80,18,56,158
21,59,76,143
42,30,2,172
28,35,63,98
43,24,32,126
62,39,11,230
73,96,2,432
86,14,52,162
18,46,40,134
4,99,83,222
80,40,1,279
12,29,62,49
72,1,57,90
50,77,19,312
79,16,76,130
54,97,51,348
46,77,61,262
15,61,52,161
9,38,91,41
37,25,81,68
58,35,53,168
63,93,49,356
20,9,4,63
11,30,84,28
98,64,80,308
80,43,4,285
75,64,15,327
50,86,100,258
26,44,77,107
35,84,67,255
51,41,37,188
50,55,25,240
55,89,4,373
38,56,3,241
98,87,97,360
24,81,100,191
43,18,41,99
39,81,47,274
63,68,34,296
83,3,38,137
35,48,23,191
36,66,78,192
70,49,9,278
93,53,72,273
86,41,8,287
79,46,41,255
62,66,25,297
19,53,39,158
37,60,58,196
37,99,20,351
97,52,25,325
69,44,47,223
76,25,29,198
52,99,75,326
19,55,67,136
78,24,100,128
26,6,45,25
39,2,74,10
35,21,35,98
72,11,44,133
19,49,31,154
52,6,36,86
40,41,41,162
96,94,59,415
56,27,25,168
45,95,49,326
84,42,36,258
53,48,97,153
2,75,29,200
13,71,83,156
29,3,99,-32
62,81,76,291
32,41,49,138
90,97,43,428
64,77,33,326
42,53,36,207
28,80,70,226
2,57,8,167
82,15,28,181
17,23,88,15
71,22,1,207
90,75,3,402
85,60,56,294
63,81,55,314
40,61,79,184
98,100,15,481
13,93,21,284
35,12,73,33
83,88,97,333
34,66,80,186
24,36,38,118
90,80,45,375
20,97,29,302
30,81,52,251
3,81,20,229
29,76,86,200
13,66,81,143
7,2,51,-31
74,86,86,320
8,23,72,13
3,28,8,82
80,97,93,358
5,15,22,33
10,30,3,107
11,71,9,226
58,36,50,174
48,36,29,175
27,88,77,241
70,79,17,360
68,66,29,305
12,81,30,237
55,11,47,96
40,27,45,116
49,81,77,264
83,71,26,353
37,24,13,133
94,64,89,291
18,74,39,219
80,32,13,243
47,64,30,256
12,52,86,94
25,57,59,162
90,17,76,155
57,67,8,307
83,76,65,329
62,11,79,78
77,31,52,195
91,74,74,330
57,93,59,334
46,5,44,63
34,20,61,67
66,95,83,334
19,61,73,148
22,88,39,269
67,4,16,130
77,12,20,170
93,59,61,302
10,65,21,194
89,86,86,350
83,88,89,341
75,85,16,389
71,76,93,277
30,22,26,100
3,78,64,176
96,62,26,352
30,22,87,39
72,61,59,268
56,96,31,369
54,48,49,203
32,59,57,184
61,45,38,219
64,60,22,286
75,51,4,299
89,84,12,418
47,98,85,303
33,95,89,262
59,27,73,126
86,81,100,315
50,8,99,25
52,17,30,125
94,46,8,318
75,85,85,320
36,25,1,146
97,23,28,235
100,41,35,288
53,1,56,53
38,48,57,163
62,57,57,238
85,43,20,279
39,33,12,165
16,40,98,54
74,80,50,338
12,12,80,-20
55,42,41,195
96,35,98,199
4,23,32,45
67,21,17,180
80,61,11,332
22,36,73,79
28,72,11,261
22,44,38,138
77,67,16,339
23,53,94,111
79,35,50,213
56,15,43,114
72,94,93,333
67,13,30,143
22,84,72,224
65,9,35,122
3,14,24,24
6,12,31,17
55,52,28,238
35,75,30,265
39,46,29,187
70,97,66,365
82,37,19,256
41,29,22,147
13,91,100,199
39,15,18,105
4,74,58,172
37,73,74,219
72,75,73,296
3,15,56,-5
10,78,55,199
30,85,78,237
40,42,18,188
99,80,52,386
73,70,20,336
27,68,72,186
22,63,57,176
3,29,88,5
79,74,84,296
68,5,15,136
70,42,43,223
25,66,68,180
17,5,49,0
32,30,65,89
23,35,78,73
29,88,88,234
43,69,2,291
11,90,37,255
36,6,46,44
67,63,20,303
95,5,47,158
19,29,15,110
94,84,35,405
17,27,87,28
22,30,58,76
58,22,62,120
19,24,58,52
38,14,60,58
17,88,95,203
10,82,62,204
2,24,100,-24
69,80,68,310
21,61,2,223
24,48,30,162
76,15,84,113
70,62,55,271
92,81,91,336
75,73,2,367
11,86,58,222
81,20,8,214
36,50,60,162
72,36,98,154
90,2,21,165
74,1,78,73
20,13,46,33
46,39,13,196
51,80,38,304
33,21,23,106
10,65,96,119
42,66,31,251
97,64,100,286
66,77,8,355
88,44,99,209
26,29,91,48
45,94,25,347
14,75,40,213
82,74,77,309
95,50,92,248
99,10,48,180
32,40,4,180
79,97,84,365
85,63,83,276
29,49,80,125
58,7,74,63
80,52,59,257
100,62,86,300
83,12,7,195
88,19,31,202
99,69,70,335
53,40,91,135
2,50,42,112
20,52,93,103
82,31,71,186
89,68,58,324
74,41,53,218
8,82,57,205
66,75,27,330
67,47,39,236
38,69,92,191
34,49,11,204
66,91,95,310
87,43,60,243
53,80,11,335
83,56,33,301
43,6,27,77
53,32,76,126
95,92,34,432
46,42,81,137
90,56,89,259
55,56,46,232
82,97,53,402
56,24,72,112
55,47,20,231
81,39,95,184
73,82,21,371
43,20,84,62
23,55,80,131
45,32,2,184
83,19,25,198
77,35,40,219
50,4,73,39
63,53,49,236
28,91,42,287
4,25,45,38
72,91,2,415
88,67,58,319
76,32,88,160
37,17,53,72
43,85,51,290
8,10,32,14
79,32,39,215
26,5,6,61
89,56,26,320
77,72,7,363
3,76,30,204
88,11,74,135
2,15,99,-50
22,96,94,238
89,77,97,312
84,70,93,285
20,83,29,260
47,21,62,95
92,21,90,157
64,34,53,177
7,85,1,268
53,35,100,111
2,16,10,42
40,18,82,52
6,68,31,185
10,97,2,309
21,26,10,110
47,89,69,292
53,22,64,108
39,38,17,175
42,42,15,195
91,100,7,475
77,71,63,304
53,18,41,119
97,82,4,436
61,42,4,244
62,49,13,258
91,44,44,270
11,16,62,8
16,89,55,244
3,70,6,210
52,91,55,322
4,19,40,25
77,55,84,235
80,1,27,136
35,21,67,66
62,71,65,272
19,14,45,35
44,85,73,270
39,99,37,338
82,12,80,120
69,88,59,343
28,4,50,18
7,22,84,-4
62,97,30,385
66,69,59,280
53,60,7,279
52,68,70,238
24,85,31,272
55,94,91,301
59,80,94,264
42,85,35,304
84,75,15,378
9,36,91,35
9,8,59,-17
66,14,2,172
52,41,35,192
78,23,96,129
80,49,84,223
91,50,69,263
45,60,31,239
74,31,27,214
55,28,11,183
38,43,88,117
7,80,38,216
58,22,95,87
1,11,89,-54
94,77,99,320
25,22,87,29
72,58,33,285
1,74,83,141
25,68,89,165
18,60,91,125
94,58,67,295
54,11,31,110
36,99,81,288
35,88,15,319
44,99,31,354
81,2,1,167
87,97,64,401
96,5,94,113
52,74,14,312
7,6,72,-40
94,60,89,279
5,40,61,69
97,20,94,160
68,3,9,136
87,42,61,239
26,68,81,175
12,37,18,117
96,48,62,274
71,78,36,340
26,66,31,219
50,100,8,392
43,13,49,76
43,86,9,335
11,80,96,166
63,63,64,251
57,43,15,228
32,11,58,39
34,11,69,32
79,68,43,319
47,31,69,118
71,22,46,162
46,49,19,220
6,50,17,145
89,31,21,250
92,86,17,425
48,20,77,79
84,32,37,227
23,37,67,90
94,67,59,330
67,79,98,273
11,57,99,94
57,15,22,137
8,29,12,91
79,8,63,119
35,90,88,252
47,81,10,327
30,40,54,126
92,13,84,139
8,85,41,230
29,81,83,218
3,94,29,259
61,93,13,388
6,84,22,242
8,3,28,-3
22,2,5,45
74,41,22,249
39,19,59,76
29,2,65,-1
13,40,25,121
93,35,100,191
11,84,12,262
19,83,17,270
29,19,25,90
29,26,82,54
5,51,42,121
14,32,77,47
22,60,35,189
78,100,86,370
91,29,53,216
42,55,65,184
74,7,27,142
9,88,18,264
94,67,18,371
27,52,90,120
15,5,13,32
22,29,20,111
48,15,83,58
96,96,48,432
42,29,40,131
73,87,99,308
23,56,52,162
40,37,59,132
22,100,12,332
2,48,15,133
8,95,11,290
2,83,76,177
3,50,69,87
13,44,79,79
16,99,63,266
52,49,71,180
66,1,56,79
31,88,78,248
48,26,76,98
70,99,29,408
46,62,94,184
53,93,46,339
20,9,79,-12
74,20,57,151
32,68,27,241
46,3,98,3
67,12,13,157
18,50,7,179
31,23,53,78
50,34,57,145
3,23,9,66
72,88,31,377
60,42,80,166
35,75,84,211
79,92,46,388
88,39,41,252
58,63,7,298
32,91,79,258
81,94,11,433
79,18,13,199
54,15,55,98
51,53,9,252
16,21,9,86
32,53,98,125
26,98,38,308
71,7,75,88
95,1,84,109
44,51,39,202
70,30,1,229
26,36,88,72
11,56,83,107
37,15,28,91
95,15,59,176
13,43,46,109
35,97,13,348
27,9,85,-4
14,64,60,160
30,20,68,52
84,99,100,365
45,60,54,216
76,5,49,118
28,9,29,54
12,29,27,84
16,61,23,192
85,28,48,206
40,39,51,146
57,74,25,311
37,15,7,112
44,22,19,135
49,17,6,143
93,36,79,215
64,67,72,257
11,17,2,71
74,1,52,99
70,14,100,82
1,51,33,122
92,66,73,309
10,67,12,209
31,20,46,76
58,28,90,110
27,3,88,-25
28,3,5,60
16,3,90,-49
11,30,60,52
72,35,86,163
66,7,75,78
63,23,54,141
50,97,42,349
36,7,94,-1
62,50,80,194
100,26,5,273
11,90,92,200
65,51,74,209
86,32,96,172
86,81,59,356
34,51,94,127
1,75,13,214
78,6,15,159
77,93,71,362
38,78,56,254
23,94,75,253
61,29,1,208
27,65,33,216
13,79,7,256
50,22,48,118
66,50,91,191
24,47,88,101
18,82,15,267
6,8,12,24
20,69,88,159
85,72,10,376
79,60,99,239
20,2,13,33
75,62,98,238
15,62,64,152
39,21,67,74
35,77,41,260
82,99,76,385
24,3,57,0
77,65,50,299
14,39,62,83
33,21,11,118
36,97,71,292
45,30,38,142
36,24,90,54
32,29,52,99
24,48,21,171
12,60,42,162
96,31,6,279
48,35,80,121
1,74,76,148
46,95,49,328
38,1,1,78
42,14,49,77
42,51,39,198
3,65,72,129
56,20,29,143
27,11,41,46
87,32,36,234
12,41,68,79
62,94,68,338
82,31,45,212
82,11,86,111
57,5,14,115
89,31,42,229
2,72,93,127
43,24,76,82
9,36,46,80
52,72,43,277
66,70,3,339
80,32,82,174
28,9,66,17
35,53,92,137
75,54,28,284
58,40,65,171
37,1,50,27
62,74,15,331
38,23,37,108
92,83,48,385
51,57,59,214
51,27,86,97
10,47,39,122
12,71,49,188
37,77,37,268
72,97,5,430
9,31,88,23
4,91,71,210
70,6,90,68
97,27,20,255
5,58,7,177
64,31,59,162
85,66,30,338
22,26,58,64
86,2,91,87
17,58,70,138
43,58,77,183
82,64,90,266
3,25,95,-14
33,79,12,291
37,52,69,161
24,22,5,109
71,43,76,195
19,95,79,244
77,71,25,342
9,5,37,-4
45,90,4,356
42,30,41,133
5,11,83,-40
33,94,91,257
17,49,36,145
76,35,7,250
45,8,68,46
14,92,73,231
20,90,52,258
8,19,62,11
35,60,4,246
10,40,38,102
99,95,75,408
27,63,14,229
19,98,88,244
5,97,70,231
26,44,26,158
52,7,50,75
57,5,22,107
37,87,62,273
100,65,21,374
43,78,11,309
17,60,17,197
59,90,64,324
55,8,11,123
48,81,71,268
93,39,2,301
53,22,94,78
18,77,95,172
99,11,34,197
20,39,14,143
96,60,67,305
14,23,74,23
63,2,58,74
76,91,58,367
90,68,27,357
80,30,2,248
69,8,86,76
65,60,20,290
97,54,75,281
41,21,46,99
17,17,64,21
67,12,73,97
36,25,16,131
80,70,32,338
43,95,65,306
34,53,65,162
82,40,23,261
50,67,3,298
25,34,16,136
49,58,90,182
74,92,74,350
19,33,48,89
90,33,56,223
14,29,46,69
76,27,53,180
64,75,8,345
1,42,83,45
80,80,75,325
50,41,25,198
46,87,45,308
91,70,34,358
60,79,28,329
8,34,46,72
3,97,26,271
8,29,8,95
30,22,56,70
15,94,46,266
99,16,28,218
50,39,95,122
8,59,35,158
26,67,48,205
34,64,57,203
81,45,22,275
4,83,4,253
50,41,54,169
11,67,29,194
89,58,83,269
28,27,41,96
63,27,7,200
5,46,34,114
3,16,39,15
38,55,96,145
58,78,16,334
49,18,59,93
17,72,52,198
24,87,39,270
25,22,29,87
48,11,61,68
40,49,16,211
72,12,61,119
51,27,45,138
47,64,2,284
69,26,49,167
34,100,95,273
6,59,53,136
6,97,100,203
15,10,25,35
30,5,41,34
5,95,78,217
65,22,12,184
60,74,38,304
29,4,32,38
81,45,80,217
96,84,45,399
100,72,79,337
56,28,45,151
54,96,53,343
54,73,13,314
52,27,7,178
43,46,23,201
66,67,4,329
57,38,97,131
52,66,5,297
97,50,70,274
71,56,29,281
15,95,90,225
4,12,66,-22
66,21,58,137
53,10,33,103
35,69,59,218
88,86,96,338
62,89,94,297
92,53,10,333
84,89,70,365
6,61,81,114
36,90,12,330
35,48,19,195
20,94,7,315
34,59,40,205
79,10,20,168
82,16,25,187
83,14,29,179
12,96,48,264
37,30,46,118
7,25,28,61
48,79,96,237
27,75,79,200
80,37,36,235
40,3,32,57
75,11,100,83
47,13,67,66
98,1,100,99
18,7,61,-4
49,52,79,175
79,85,3,410
11,45,45,112
48,51,1,248
98,88,12,448
22,7,71,-6
85,26,70,178
30,92,63,273
57,6,40,92
23,57,62,155
50,97,70,321
27,94,76,260
28,62,4,238
57,96,29,373
85,89,41,396
69,64,18,312
40,69,57,230
51,92,30,348
20,33,50,89
96,20,61,191
89,18,75,157
37,94,92,264
57,16,79,83
42,5,51,48
85,22,88,148
90,13,69,150
50,71,91,222
26,1,43,12
75,4,48,114
6,62,64,134
3,24,64,14
5,96,92,206
64,60,56,252
22,60,89,135
33,48,64,146
20,2,72,-26
61,5,2,135
34,75,34,259
79,15,98,105
15,27,24,87
75,49,37,260
62,59,63,238
48,71,52,257
44,29,82,93
72,95,64,365
11,30,74,38
84,60,35,313
62,92,98,302
62,9,29,122
19,20,39,59
61,68,10,316
76,43,40,241
71,75,31,336
34,36,47,129
22,42,64,106
70,32,59,177
70,52,74,222
36,68,40,236
44,67,8,281
46,20,26,126
33,73,62,223
34,19,8,117
17,95,69,250
67,21,3,194
71,3,39,112
54,36,4,212
82,78,75,323
1,96,41,249
87,21,21,216
68,8,63,97
5,1,82,-69
51,47,81,162
57,53,39,234
89,49,39,286
47,38,100,108
39,49,9,216
92,78,71,347
50,53,73,186
22,92,40,280
24,10,36,42
36,67,29,244
46,15,8,129
95,59,67,300
47,21,69,88
29,42,76,108
78,62,98,244
22,59,92,129
36,59,22,227
32,67,54,211
29,30,49,99
92,17,98,137
49,76,53,273
7,81,24,233
31,30,22,130
63,10,21,135
32,8,35,53
86,80,88,324
83,30,96,160
83,32,93,169
18,61,41,178
33,53,28,197
85,40,69,221
40,87,62,279
44,46,8,218
82,82,83,327
23,98,33,307
42,19,58,83
68,97,38,389
56,47,49,204
81,20,29,193
74,21,39,172
80,1,32,131
52,51,20,237
39,48,13,209
6,61,4,191
71,18,96,100
27,16,21,81
41,5,42,55
6,85,49,218
70,16,35,153
71,73,65,296
75,78,80,304
37,31,22,145
72,31,87,150
23,22,54,58
16,38,13,133
91,64,79,295
73,16,26,168
25,60,8,222
64,45,23,240
39,20,80,58
5,45,14,131
86,88,49,387
89,60,47,311
17,89,97,204
65,2,11,125
88,77,29,378
57,18,86,82
48,99,53,340
7,88,42,236
8,1,93,-74
77,50,56,248
96,28,92,184
14,23,20,77
48,39,48,165
97,43,33,290
51,31,54,141
56,67,15,298
85,47,25,286
15,7,90,-39
3,98,20,280
91,42,44,264
14,12,43,21
50,100,63,337
41,87,37,306
30,26,62,76
57,16,32,130
25,15,15,80
32,21,57,70
88,92,98,354
93,44,49,269
21,85,1,296
8,67,60,157
11,62,8,200
42,2,25,65
38,83,83,242
49,60,60,218
98,20,100,156
78,16,27,177
74,90,89,329
93,93,74,391
79,80,2,396
63,29,57,156
65,96,39,379
30,67,98,163
3,46,58,86
32,86,37,285
29,17,35,74
27,94,82,254
64,26,77,129
58,97,74,333
35,75,69,226
8,83,50,215
22,14,13,73
3,99,96,207
61,8,56,90
5,46,88,60
42,97,74,301
6,52,70,98
98,19,77,176
84,48,70,242
14,18,97,-15
95,1,36,157
30,83,36,273
14,13,58,9
93,56,83,271
24,56,7,209
83,46,94,210
1,12,73,-35
80,82,49,357
42,45,39,180
47,78,93,235
62,37,96,139
98,22,1,261
21,17,77,16
87,17,6,219
13,57,42,155
49,40,1,217
74,52,60,244
81,71,23,352
25,29,23,114
73,7,38,129
36,17,37,86
26,58,43,183
27,59,37,194
17,37,33,112
35,93,90,259
60,78,2,352
1,50,60,92
93,51,92,247
89,9,10,195
15,16,79,-1
77,77,24,361
32,4,32,44
59,27,25,174
78,90,30,396
60,36,32,196
47,65,96,193
24,93,60,267
62,72,79,261
83,86,39,385
1,46,71,69
80,45,79,216
84,85,87,336
95,99,25,462
3,61,59,130
