x,y,a,b,c,result
21,y2,11,16,35,22
53,y1,66,56,11,133
29,y2,100,7,93,200
36,y2,37,79,65,153
29,y2,89,59,47,178
47,y2,21,96,96,234
23,y2,57,25,51,114
38,y2,62,83,93,207
37,y2,51,60,17,162
50,y1,86,77,8,171
51,y2,86,39,8,219
22,y2,90,68,47,180
20,y2,91,30,26,182
46,y2,95,11,28,229
46,y1,19,12,23,54
20,y1,87,8,11,87
40,y1,59,82,46,187
59,y1,64,34,70,168
24,y1,39,1,94,39
31,y2,64,79,54,207
28,y1,55,90,19,55
40,y1,13,97,4,114
51,y2,21,100,21,163
49,y2,8,42,2,60
57,y2,56,81,75,268
24,y2,60,63,48,120
32,y2,14,16,53,44
32,y1,45,24,36,69
55,y2,100,31,22,253
40,y1,62,7,64,133
44,y2,33,10,28,104
52,y1,19,24,70,113
40,y1,31,14,59,104
43,y2,51,42,62,206
48,y2,60,36,7,163
20,y1,34,22,27,34
20,y2,85,33,90,170
29,y2,20,34,97,40
54,y2,45,89,34,213
58,y1,47,32,58,137
28,y1,1,65,57,1
31,y1,96,32,86,128
51,y2,45,100,76,266
49,y2,67,78,79,291
32,y2,58,17,7,133
42,y2,55,12,23,145
42,y2,29,54,29,141
44,y2,6,6,96,114
50,y1,71,5,60,136
50,y1,65,91,59,215
24,y2,11,85,21,22
54,y1,23,54,68,145
22,y2,1,99,34,2
26,y1,26,97,98,26
49,y1,98,70,64,232
24,y2,84,83,27,168
47,y2,87,47,83,304
42,y1,7,6,45,58
60,y1,76,13,54,143
46,y1,86,25,34,145
22,y2,51,20,21,102
59,y2,71,39,16,197
53,y2,29,38,66,162
59,y2,7,27,83,124
51,y2,25,11,76,137
34,y1,67,99,61,166
21,y1,36,10,87,36
57,y1,40,51,22,113
25,y1,38,52,43,38
24,y1,64,45,24,64
58,y2,59,34,66,218
24,y2,76,78,99,152
32,y2,54,46,75,154
32,y2,99,59,49,257
36,y1,27,98,37,125
54,y1,47,39,88,174
37,y1,15,31,71,46
29,y1,93,92,61,93
21,y1,51,76,58,51
24,y1,3,1,4,3
57,y1,82,59,75,216
51,y1,97,83,60,240
20,y2,38,37,76,76
31,y1,90,95,13,185
24,y2,49,93,29,98
37,y2,16,95,31,127
33,y2,73,47,50,193
46,y2,28,16,88,160
60,y2,27,76,10,140
48,y1,88,58,14,160
32,y1,92,9,28,101
34,y1,99,13,58,112
46,y2,71,64,5,211
27,y2,43,21,75,86
37,y2,76,93,48,245
40,y2,70,83,33,256
37,y1,66,17,23,83
36,y1,13,3,69,16
30,y1,84,43,98,127
26,y1,89,3,30,89
43,y1,44,11,18,73
43,y2,68,55,28,219
48,y2,24,88,20,156
29,y1,27,63,39,27
47,y1,70,48,77,195
21,y1,42,36,34,42
55,y2,72,24,96,264
25,y1,95,1,53,95
25,y2,61,10,16,122
46,y2,26,26,71,149
27,y2,32,80,29,64
52,y2,20,83,85,208
23,y1,31,37,84,31
58,y2,30,45,8,113
34,y1,75,66,15,141
47,y1,23,86,96,205
45,y1,38,5,57,100
46,y2,77,27,37,218
43,y1,32,85,81,198
34,y2,25,62,54,112
31,y2,79,75,94,233
36,y2,2,48,4,52
42,y2,2,14,29,47
44,y2,93,87,29,302
44,y1,81,56,69,206
54,y1,60,41,34,135
48,y2,12,70,11,105
39,y1,95,26,10,121
28,y2,87,18,68,174
25,y1,91,86,4,91
46,y2,7,96,15,125
37,y1,3,18,69,21
29,y2,50,72,74,100
23,y1,62,66,75,62
31,y2,34,1,71,69
43,y2,30,83,74,217
44,y2,5,61,55,126
21,y1,44,23,7,44
45,y1,73,55,18,146
27,y2,30,52,1,60
47,y2,74,46,34,228
60,y2,18,12,58,106
32,y1,55,40,99,95
53,y2,79,89,77,324
46,y2,74,85,19,252
50,y2,17,84,94,212
21,y1,34,72,79,34
52,y2,1,20,72,94
59,y1,89,91,24,204
33,y1,87,83,89,170
34,y1,89,45,37,134
20,y2,57,5,16,114
48,y1,30,98,41,169
44,y2,80,35,63,258
31,y2,79,57,35,215
29,y1,4,91,35,4
24,y2,36,68,90,72
44,y1,38,87,61,186
25,y2,37,21,40,74
24,y2,14,41,58,28
30,y1,7,7,16,14
56,y1,58,55,46,159
60,y2,6,57,72,141
30,y1,80,31,58,111
40,y2,17,73,16,123
49,y2,26,94,16,162
57,y2,63,6,51,183
36,y1,12,29,57,41
28,y1,40,57,78,40
55,y1,79,65,42,186
23,y2,15,91,33,30
49,y1,36,67,10,113
56,y2,20,19,27,86
28,y1,85,84,44,85
25,y1,71,61,89,71
60,y1,2,89,3,94
25,y1,91,8,80,91
53,y2,41,26,24,132
22,y1,61,24,20,61
55,y2,70,77,7,224
39,y2,46,56,50,148
37,y2,64,89,23,217
24,y1,16,73,77,16
33,y1,76,58,57,134
57,y1,58,96,4,158
22,y1,86,20,42,86
28,y2,34,74,51,68
44,y2,79,34,88,280
39,y1,19,10,75,29
29,y1,20,34,55,20
27,y2,8,85,81,16
35,y1,19,71,5,90
52,y2,23,84,17,147
53,y1,43,61,43,147
37,y1,54,79,67,133
44,y1,4,42,70,116
50,y2,15,67,33,130
49,y1,4,32,49,85
59,y2,23,54,43,143
48,y1,98,48,30,176
45,y1,13,7,38,58
20,y1,88,100,6,88
48,y2,64,1,15,144
40,y2,23,20,8,74
39,y1,37,26,24,63
24,y1,47,45,65,47
37,y1,20,61,19,81
50,y2,15,99,8,137
59,y1,59,16,47,122
32,y1,94,22,71,116
21,y1,39,20,19,39
49,y1,56,76,54,186
35,y2,78,26,33,182
37,y1,42,100,93,142
41,y1,16,24,34,74
54,y2,64,68,52,248
56,y2,1,12,91,105
38,y2,25,42,65,92
23,y2,52,77,23,104
49,y2,53,22,29,157
48,y1,2,58,15,75
47,y1,78,81,9,168
25,y1,60,28,3,60
59,y2,78,71,57,284
25,y2,70,31,37,140
32,y1,77,87,98,164
52,y2,38,38,95,209
29,y2,74,92,56,148
58,y2,37,33,32,139
36,y2,65,65,12,195
58,y2,85,74,70,314
57,y1,42,89,60,191
37,y1,1,78,49,79
44,y2,74,9,71,228
37,y1,53,56,74,109
32,y2,38,15,47,91
48,y1,84,61,11,156
25,y1,37,71,20,37
55,y2,24,98,12,158
36,y1,69,27,23,96
48,y2,54,7,86,201
52,y1,93,45,54,192
48,y2,40,24,55,159
37,y1,75,1,22,76
31,y2,91,51,6,233
22,y1,68,73,1,68
34,y1,49,16,37,65
42,y1,40,36,28,104
29,y2,94,66,91,188
28,y2,83,69,99,166
25,y2,68,18,71,136
50,y2,90,3,78,261
34,y1,5,96,26,101
34,y1,11,20,58,31
44,y2,37,94,92,260
60,y2,25,92,77,219
28,y1,39,17,47,39
36,y1,62,26,30,88
33,y1,43,27,93,70
46,y2,17,36,47,117
26,y1,62,52,62,62
33,y2,27,56,5,110
41,y1,51,71,97,219
31,y2,30,28,90,88
40,y2,39,22,96,196
29,y1,24,42,24,24
29,y1,18,31,85,18
49,y1,36,88,69,193
39,y2,56,33,67,145
47,y1,76,64,63,203
50,y2,44,18,58,164
52,y1,66,70,81,217
50,y1,26,18,44,88
28,y1,23,15,18,23
24,y1,15,7,64,15
55,y1,9,46,74,129
24,y2,60,35,35,120
39,y2,99,76,33,274
22,y2,46,83,91,92
23,y1,89,7,27,89
42,y2,57,96,96,306
48,y2,93,74,62,322
55,y1,32,89,66,187
23,y2,54,20,3,108
28,y1,13,15,73,13
25,y1,24,32,67,24
46,y2,26,83,7,142
59,y1,95,88,78,261
55,y2,53,98,46,250
31,y1,57,67,44,124
36,y1,60,21,86,81
23,y1,22,2,72,22
30,y2,49,64,94,162
52,y1,97,46,88,231
31,y1,65,1,37,66
40,y1,3,100,77,180
55,y1,98,59,87,244
52,y1,93,7,36,136
32,y1,79,78,84,157
43,y2,29,30,71,159
33,y2,36,20,81,92
41,y1,19,32,3,54
56,y2,85,62,63,295
59,y1,93,64,11,168
44,y1,84,83,94,261
57,y2,25,35,11,96
60,y2,81,26,26,214
33,y1,93,19,69,112
59,y2,84,22,42,232
23,y2,15,3,3,30
58,y1,73,16,69,158
24,y2,64,16,74,128
34,y1,24,67,6,91
60,y1,38,90,9,137
52,y2,95,5,14,209
23,y1,2,15,33,2
31,y2,98,7,65,203
53,y2,86,55,42,269
60,y1,72,34,73,179
40,y2,13,14,39,79
35,y1,71,73,32,144
42,y1,55,34,36,125
31,y2,35,75,91,145
46,y2,63,20,7,153
41,y1,59,47,13,119
21,y1,57,98,83,57
46,y1,44,35,49,128
38,y1,62,27,94,89
51,y1,16,21,28,65
60,y1,51,59,64,174
35,y2,63,83,91,209
25,y1,58,10,27,58
27,y1,47,50,83,47
56,y1,53,96,81,230
39,y2,59,46,9,164
21,y1,50,90,3,50
21,y2,40,81,35,80
24,y1,13,69,86,13
35,y2,76,1,50,153
41,y2,29,36,5,99
36,y1,78,28,91,106
41,y2,73,80,73,299
47,y1,77,11,21,109
53,y2,75,46,85,281
37,y2,66,67,2,199
59,y1,68,65,53,186
47,y1,93,46,33,172
41,y1,16,74,77,167
43,y1,23,43,4,70
37,y1,52,40,51,92
55,y2,29,40,99,197
22,y1,86,27,26,86
36,y1,27,5,85,32
58,y1,64,54,14,132
29,y1,25,2,8,25
53,y1,83,4,83,170
58,y2,12,94,83,201
58,y1,50,42,49,141
24,y2,61,4,6,122
59,y2,98,16,48,260
25,y1,98,1,74,98
58,y2,41,85,49,216
25,y2,94,3,9,188
40,y2,44,64,51,203
20,y1,95,31,3,95
60,y2,70,52,97,289
30,y2,47,67,63,161
42,y2,37,2,7,83
28,y1,82,27,3,82
44,y2,17,97,64,195
30,y1,45,97,42,142
59,y1,52,26,69,147
21,y2,9,74,91,18
52,y1,47,93,42,182
41,y1,32,34,85,151
57,y2,92,92,12,288
22,y2,24,96,6,48
49,y2,72,98,13,255
22,y1,1,91,50,1
46,y2,26,95,1,148
40,y2,3,46,68,120
43,y1,9,45,74,128
21,y2,16,54,19,32
20,y2,12,89,43,24
31,y1,91,95,49,186
47,y1,99,73,48,220
32,y2,64,66,32,194
39,y2,33,68,94,134
49,y1,63,40,38,141
31,y2,61,95,71,217
56,y1,30,46,9,85
52,y1,15,89,75,179
48,y1,18,48,98,164
30,y2,25,39,35,89
21,y1,54,97,75,54
42,y1,33,85,31,149
25,y2,44,33,64,88
38,y1,35,28,37,63
23,y1,52,55,52,52
40,y1,23,46,64,133
20,y2,81,94,91,162
58,y2,45,97,86,273
28,y1,65,72,7,65
30,y2,54,36,5,144
22,y1,17,42,53,17
35,y2,96,5,80,197
40,y2,33,74,58,198
38,y2,14,40,82,68
44,y1,54,22,15,91
48,y2,53,60,9,175
42,y1,60,91,57,208
20,y2,25,37,30,50
41,y2,83,67,74,307
37,y2,60,8,16,128
39,y1,83,43,52,126
46,y1,97,97,36,230
37,y2,2,8,82,12
46,y1,81,79,48,208
55,y1,78,53,34,165
58,y2,90,87,3,270
32,y1,96,4,92,100
40,y2,72,64,48,256
58,y1,59,44,36,139
45,y2,51,56,29,187
22,y1,23,38,47,23
33,y1,51,9,96,60
41,y2,17,5,62,101
20,y2,11,65,94,22
55,y2,11,9,67,98
46,y2,84,27,69,264
23,y2,63,2,34,126
33,y2,24,44,78,92
56,y1,14,57,43,114
36,y1,67,40,83,107
20,y1,17,93,77,17
21,y1,73,22,89,73
53,y1,100,43,32,175
21,y2,40,51,15,80
37,y1,17,54,70,71
35,y1,81,7,46,88
41,y2,26,88,17,157
21,y2,36,13,80,72
29,y2,50,5,49,100
31,y2,44,68,10,156
53,y2,65,90,3,223
21,y1,60,68,52,60
45,y1,82,84,62,228
46,y1,79,87,47,213
39,y1,94,56,77,150
27,y1,48,49,59,48
38,y1,40,100,95,140
40,y2,29,3,58,119
35,y1,77,24,57,101
50,y2,22,6,19,69
41,y1,34,20,24,78
38,y1,91,7,32,98
50,y1,55,30,74,159
56,y1,32,7,70,109
49,y1,28,8,74,110
23,y1,17,65,98,17
38,y1,77,98,20,175
37,y2,66,47,2,179
55,y2,45,59,66,215
44,y1,47,68,10,125
35,y1,70,86,53,156
32,y1,3,99,58,102
42,y1,2,77,4,83
48,y2,38,54,76,206
20,y2,34,26,12,68
55,y2,81,5,54,221
25,y2,36,29,65,72
39,y2,83,66,67,232
54,y1,36,81,85,202
48,y2,17,77,63,174
48,y1,32,96,52,180
34,y2,80,28,73,188
40,y1,44,22,24,90
60,y2,20,56,12,108
21,y1,10,95,48,10
40,y1,43,19,33,95
31,y2,86,58,2,230
54,y1,49,34,48,131
45,y2,38,69,68,213
52,y2,56,24,38,174
39,y1,71,10,26,81
33,y1,89,44,82,133
22,y2,87,82,23,174
21,y2,91,87,10,182
42,y2,5,3,5,18
48,y2,55,72,97,279
50,y1,15,11,6,32
49,y1,43,20,22,85
57,y1,11,1,56,68
60,y2,39,55,42,175
50,y1,24,10,16,50
27,y2,42,78,20,84
22,y1,3,26,56,3
60,y2,37,39,16,129
53,y2,96,5,5,202
30,y2,2,29,24,33
60,y1,44,56,38,138
31,y2,40,98,81,178
40,y2,39,84,60,222
41,y2,66,86,71,289
31,y1,19,60,47,79
36,y2,66,89,50,221
46,y2,84,97,41,306
39,y2,9,87,42,105
49,y2,24,21,95,164
24,y2,87,3,83,174
22,y1,3,80,7,3
33,y2,27,91,42,145
23,y2,66,93,52,132
27,y1,37,4,83,37
50,y2,75,83,77,310
30,y2,24,3,64,51
52,y2,55,46,12,168
43,y2,61,24,40,186
56,y2,14,8,45,81
48,y2,8,9,52,77
44,y2,32,57,23,144
60,y1,30,11,79,120
30,y2,55,41,9,151
29,y1,85,25,22,85
20,y1,79,24,32,79
44,y2,75,5,92,247
52,y1,15,56,36,107
23,y2,88,32,81,176
50,y2,88,32,97,305
48,y1,98,9,97,204
28,y2,19,68,4,38
39,y1,3,91,38,94
45,y1,80,44,88,212
24,y1,85,65,61,85
24,y2,46,22,44,92
21,y2,49,95,76,98
49,y2,37,7,4,85
25,y2,64,30,77,128
60,y2,73,68,87,301
47,y2,41,28,7,117
47,y2,78,50,43,249
55,y1,14,86,35,135
50,y2,79,97,64,319
53,y2,30,17,71,148
38,y2,79,29,5,187
32,y1,46,74,23,120
36,y1,27,18,20,45
23,y1,59,27,31,59
59,y2,71,34,33,209
41,y1,66,29,60,155
48,y1,5,100,13,118
58,y1,67,17,75,159
45,y2,73,60,35,241
41,y1,59,55,77,191
40,y2,18,60,24,120
38,y1,48,56,50,104
29,y1,84,54,11,84
49,y2,55,4,86,200
27,y1,7,43,38,7
48,y2,41,28,99,209
20,y2,57,33,62,114
54,y2,10,80,28,128
44,y2,31,95,33,190
45,y2,70,9,43,192
26,y2,30,100,5,60
56,y2,34,37,96,201
40,y1,57,82,46,185
21,y2,39,67,50,78
47,y2,53,61,60,227
54,y1,77,35,26,138
43,y1,89,1,82,172
45,y2,6,61,47,120
43,y1,12,79,67,158
60,y2,91,85,13,280
60,y2,63,39,18,183
22,y1,18,58,62,18
54,y2,78,33,51,240
28,y1,25,36,49,25
51,y2,66,39,4,175
38,y1,77,38,41,115
34,y1,13,32,48,45
20,y2,56,2,46,112
39,y1,64,42,48,106
50,y2,41,72,11,165
23,y1,36,19,21,36
46,y2,10,17,46,83
54,y1,50,46,9,105
51,y2,2,78,24,106
54,y1,77,45,13,135
55,y2,52,77,39,220
58,y2,86,68,93,333
38,y2,21,50,81,92
51,y2,69,71,87,296
40,y1,68,14,23,105
39,y1,71,96,8,167
21,y2,54,65,1,108
56,y2,51,90,94,286
59,y2,96,63,55,310
45,y2,31,54,15,131
49,y1,21,28,44,93
52,y2,89,71,46,295
51,y1,56,64,90,210
27,y2,22,6,19,44
28,y1,92,51,19,92
45,y1,66,95,90,251
60,y2,35,98,3,171
46,y1,79,93,97,269
22,y2,51,19,43,102
50,y1,24,55,94,173
30,y2,99,2,84,200
54,y1,83,17,20,120
24,y2,57,18,46,114
23,y2,44,29,53,88
44,y2,87,84,87,345
45,y1,77,54,80,211
54,y1,98,45,36,179
20,y1,91,40,42,91
54,y2,61,51,26,199
56,y2,66,1,10,143
54,y2,13,100,32,158
60,y1,54,34,51,139
20,y2,58,5,10,116
52,y2,63,62,73,261
49,y1,63,13,93,169
39,y2,35,59,68,129
41,y2,33,71,74,211
34,y1,47,83,69,130
44,y2,16,62,87,181
44,y1,20,69,82,171
35,y1,37,47,8,84
27,y2,20,26,81,40
57,y2,85,14,91,275
42,y2,18,10,32,78
46,y2,76,11,46,209
51,y1,31,59,62,152
39,y1,97,75,39,172
57,y2,56,66,79,257
31,y2,51,24,82,126
46,y2,78,63,49,268
29,y1,29,45,70,29
32,y1,2,87,45,89
24,y2,52,35,59,104
47,y2,77,67,11,232
30,y2,80,82,69,242
36,y1,6,35,82,41
25,y1,18,9,86,18
37,y1,8,51,74,59
33,y2,23,17,43,63
51,y2,45,77,51,218
51,y2,43,47,35,168
51,y1,32,75,47,154
42,y1,81,13,17,111
44,y1,22,88,51,161
55,y2,3,83,51,140
45,y2,74,48,95,291
48,y1,78,14,26,118
42,y1,27,18,32,77
20,y2,63,60,77,126
20,y2,26,55,17,52
38,y1,5,51,83,56
39,y1,71,41,7,112
26,y1,38,82,95,38
42,y2,69,81,35,254
24,y2,70,65,21,140
36,y1,25,12,58,37
51,y2,10,93,41,154
53,y2,69,64,21,223
25,y2,52,48,81,104
48,y1,63,81,98,242
46,y1,26,40,64,130
52,y1,20,2,63,85
29,y1,58,100,97,58
20,y1,89,64,43,89
23,y1,89,45,73,89
52,y1,32,51,87,170
43,y1,26,42,51,119
40,y2,31,48,30,140
47,y1,64,75,90,229
26,y1,11,77,55,11
32,y1,17,78,3,95
59,y1,79,9,21,109
40,y2,52,16,75,195
37,y1,41,97,7,138
26,y2,34,22,5,68
56,y1,38,45,86,169
26,y1,61,22,97,61
28,y2,70,9,6,140
38,y2,56,5,67,117
29,y2,15,47,67,30
21,y2,58,20,59,116
37,y1,34,5,58,39
60,y1,38,11,53,102
48,y2,51,9,70,181
55,y2,62,6,47,177
59,y2,52,93,88,285
54,y1,10,90,9,109
38,y1,75,7,21,82
20,y1,55,60,44,55
51,y1,63,83,59,205
33,y2,89,53,52,231
35,y1,64,8,64,72
58,y1,76,22,22,120
22,y1,26,85,31,26
48,y2,74,90,99,337
34,y1,30,16,8,46
45,y2,32,86,54,204
56,y2,91,32,11,225
36,y2,41,94,40,176
53,y2,56,60,78,250
30,y1,55,77,11,132
50,y2,4,23,46,77
30,y1,28,3,91,31
21,y1,63,11,79,63
51,y2,32,19,32,115
41,y2,32,76,13,153
33,y1,94,52,99,146
23,y2,17,13,41,34
22,y1,34,76,66,34
48,y2,84,55,86,309
22,y2,22,68,76,44
42,y2,3,40,9,55
57,y2,8,91,96,203
44,y1,32,32,91,155
30,y2,66,64,79,196
33,y1,60,36,46,96
57,y2,9,18,59,95
32,y1,34,98,11,132
52,y1,72,30,68,170
60,y2,59,22,44,184
50,y2,15,40,8,78
30,y1,38,97,52,135
55,y2,51,13,100,215
51,y1,60,45,13,118
29,y1,98,90,84,98
53,y2,83,100,15,281
26,y2,44,2,93,88
28,y1,96,92,99,96
42,y1,75,78,58,211
51,y2,15,25,83,138
31,y1,86,35,63,121
21,y1,70,71,79,70
38,y1,2,90,8,92
29,y2,35,54,50,70
34,y1,92,15,1,107
39,y2,92,60,71,244
24,y2,7,23,50,14
56,y1,59,18,15,92
48,y2,80,20,2,182
43,y1,96,58,40,194
40,y2,8,26,4,46
34,y2,25,93,36,143
20,y1,26,4,66,26
21,y2,23,54,25,46
46,y1,81,11,12,104
20,y1,17,87,71,17
34,y1,47,38,17,85
55,y2,78,2,3,161
26,y2,34,97,52,68
57,y1,35,44,30,109
31,y1,38,58,65,96
24,y1,35,35,41,35
22,y2,12,68,75,24
31,y1,84,3,73,87
43,y2,54,37,9,154
28,y2,74,18,83,148
46,y1,67,72,81,220
29,y1,91,78,58,91
44,y2,30,47,39,146
35,y2,97,51,88,245
42,y2,43,90,73,249
50,y1,74,25,27,126
57,y1,32,97,78,207
49,y2,58,71,91,278
57,y2,37,92,48,214
54,y1,71,42,4,117
57,y2,79,3,3,164
56,y2,5,9,38,57
26,y1,90,91,19,90
31,y2,50,13,94,113
35,y2,23,49,44,95
29,y1,50,85,38,50
43,y1,9,34,56,99
29,y1,70,3,87,70
37,y2,96,63,80,255
20,y1,85,35,66,85
22,y1,69,65,85,69
48,y2,11,62,87,171
58,y1,44,30,29,103
24,y2,62,82,68,124
24,y2,71,2,51,142
47,y1,38,23,28,89
55,y2,57,33,50,197
42,y1,9,3,17,29
35,y1,100,52,84,152
59,y2,91,72,21,275
57,y1,6,3,47,56
40,y2,27,77,36,167
43,y1,84,29,19,132
30,y1,63,17,69,80
53,y1,57,52,30,139
34,y2,5,35,67,45
51,y1,54,91,85,230
39,y2,28,6,95,62
47,y2,26,55,96,203
58,y2,41,33,43,158
59,y2,78,69,58,283
55,y1,33,39,35,107
38,y2,13,92,4,118
23,y2,26,31,38,52
21,y2,37,21,82,74
25,y1,81,64,78,81
32,y2,56,69,15,181
26,y2,41,97,31,82
60,y1,52,15,9,76
37,y2,47,44,96,138
25,y1,48,43,46,48
31,y1,33,99,82,132
38,y2,88,70,97,246
56,y1,27,43,61,131
32,y2,100,72,15,272
47,y2,78,51,61,268
57,y1,67,92,59,218
21,y2,71,83,42,142
48,y1,55,14,25,94
38,y2,51,55,82,157
34,y2,43,24,33,110
48,y1,76,26,98,200
31,y2,89,14,4,192
44,y1,72,10,11,93
32,y2,32,60,74,124
20,y1,67,15,16,67
52,y1,44,57,51,152
36,y1,26,1,86,27
24,y1,55,30,20,55
55,y2,53,85,64,255
21,y2,30,37,1,60
29,y1,35,11,19,35
42,y2,57,16,79,209
26,y2,5,62,34,10
34,y2,61,65,37,187
57,y2,7,88,2,104
25,y2,24,21,16,48
59,y2,76,3,36,191
29,y1,20,43,65,20
57,y1,59,12,45,116
32,y2,64,75,55,203
47,y1,99,27,48,174
50,y1,60,42,90,192
23,y1,94,24,45,94
21,y2,77,100,22,154
46,y2,98,24,60,280
29,y1,71,92,2,71
31,y1,100,86,21,186
60,y1,85,87,71,243
48,y1,14,67,78,159
59,y2,84,34,61,263
42,y1,18,81,20,119
51,y2,21,35,74,151
45,y2,41,34,71,187
60,y2,57,40,29,183
55,y2,37,63,76,213
50,y1,82,52,39,173
41,y1,2,88,84,174
30,y1,33,53,6,86
42,y1,40,46,45,131
24,y2,15,87,28,30
32,y1,54,76,42,130
20,y2,98,96,68,196
32,y2,90,82,64,262
59,y2,41,69,13,164
27,y2,1,90,30,2
52,y1,2,31,76,109
29,y1,77,83,91,77
56,y1,11,43,87,141
42,y1,50,73,19,142
38,y1,90,48,8,138
50,y2,97,39,35,268
43,y1,87,9,84,180
47,y1,72,25,10,107
33,y2,5,74,7,84
39,y2,3,25,28,31
56,y1,70,26,54,150
59,y2,95,9,95,294
23,y1,60,54,79,60
53,y1,80,7,60,147
41,y2,37,64,63,201
56,y2,30,18,78,156
38,y2,61,71,27,193
21,y2,12,97,34,24
26,y2,74,83,99,148
23,y2,13,41,78,26
35,y2,36,47,96,119
47,y1,62,59,47,168
32,y2,11,16,63,38
60,y2,6,50,7,69
28,y1,50,89,69,50
47,y1,24,96,12,132
34,y2,55,17,66,127
22,y2,33,48,76,66
50,y2,18,14,64,114
28,y2,6,75,13,12
46,y1,79,84,77,240
56,y1,85,72,57,214
49,y1,40,37,10,87
47,y1,70,10,5,85
27,y2,91,14,57,182
54,y1,9,88,93,190
56,y2,86,51,97,320
28,y1,62,47,22,62
23,y2,22,24,85,44
21,y2,41,2,88,82
32,y2,5,28,55,38
32,y2,25,67,97,117
24,y1,18,33,4,18
44,y1,89,97,30,216
42,y1,33,82,11,126
24,y2,90,37,31,180
31,y1,66,58,48,124
58,y1,76,48,43,167
52,y1,38,19,14,71
31,y1,5,11,86,16
30,y1,22,78,55,100
56,y1,22,44,59,125
32,y2,76,28,78,180
24,y1,41,33,94,41
29,y1,3,17,51,3
26,y2,23,94,67,46
21,y1,73,93,43,73
42,y2,12,48,25,97
48,y2,17,52,16,102
23,y2,5,4,20,10
21,y2,78,64,18,156
52,y1,11,45,85,141
53,y2,100,14,67,281
50,y1,3,26,27,56
50,y1,50,74,6,130
30,y1,35,98,66,133
36,y2,88,72,38,248
30,y1,53,11,98,64
56,y1,81,83,34,198
22,y1,17,30,19,17
20,y2,37,26,29,74
48,y2,40,79,48,207
23,y2,32,37,77,64
33,y1,24,87,37,111
47,y1,47,100,33,180
27,y2,52,75,63,104
59,y2,73,85,10,241
33,y2,91,54,51,236
29,y2,49,47,87,98
39,y2,75,68,61,218
20,y2,48,66,56,96
30,y1,81,37,5,118
60,y1,1,75,45,121
49,y1,73,95,78,246
60,y2,43,50,75,211
39,y2,85,96,46,266
55,y2,89,37,31,246
44,y2,100,15,15,230
57,y1,30,67,89,186
22,y1,89,41,81,89
42,y1,17,80,41,138
40,y2,78,55,36,247
57,y2,80,50,1,211
20,y2,53,38,19,106
52,y1,31,52,38,121
55,y1,32,70,55,157
54,y1,83,61,51,195
39,y2,77,73,81,227
32,y2,90,80,26,260
45,y2,97,58,29,281
59,y2,80,11,46,217
31,y1,3,68,59,71
33,y2,100,69,21,269
60,y2,29,85,82,225
35,y2,87,94,87,268
44,y2,35,68,16,154
26,y1,46,89,85,46
38,y1,41,89,11,130
26,y1,46,90,83,46
22,y1,37,67,79,37
37,y1,13,53,29,66
48,y1,45,64,47,156
26,y1,25,58,100,25
21,y1,69,87,62,69
40,y1,63,17,12,92
42,y1,72,87,70,229
34,y1,25,49,89,74
40,y2,53,95,83,284
37,y2,53,27,100,133
28,y2,84,43,89,168
36,y1,78,78,44,156
35,y1,39,56,86,95
46,y2,25,26,37,113
52,y2,18,22,46,104
20,y2,90,70,9,180
50,y2,36,91,37,200
24,y2,66,13,82,132
51,y2,60,62,26,208
54,y2,69,54,53,245
43,y2,67,79,29,242
33,y1,47,17,80,64
50,y1,33,70,31,134
40,y2,26,60,95,207
51,y1,92,59,36,187
35,y2,95,85,84,275
24,y2,58,87,48,116
42,y1,69,37,62,168
31,y1,50,95,88,145
29,y1,93,51,82,93
25,y1,50,37,94,50
54,y1,47,81,75,203
25,y1,62,24,74,62
24,y2,36,56,53,72
46,y1,49,4,93,146
37,y2,19,85,80,123
42,y1,96,60,9,165
53,y2,52,2,68,174
58,y1,57,92,20,169
29,y1,41,100,69,41
35,y2,15,23,13,53
54,y1,57,91,27,175
31,y2,24,64,34,112
40,y1,40,46,42,128
43,y1,46,49,4,99
50,y2,60,77,74,271
22,y1,59,1,80,59
20,y2,35,83,15,70
24,y2,31,14,72,62
24,y2,20,48,54,40
36,y1,63,44,38,107
20,y2,79,84,57,158
49,y1,29,14,54,97
45,y2,22,8,98,150
60,y2,4,73,38,119
40,y1,97,36,37,170
23,y2,98,35,12,196
32,y2,5,15,22,25
27,y1,2,75,15,2
39,y2,23,37,15,83
21,y2,1,45,1,2
45,y2,75,83,29,262
20,y2,90,45,52,180
47,y1,11,11,6,28
55,y2,52,61,77,242
48,y2,92,25,27,236
48,y1,22,35,44,101
44,y2,24,64,82,194
33,y2,53,73,36,179
51,y2,64,19,80,227
20,y2,42,98,3,84
51,y2,7,28,86,128
46,y2,17,9,23,66
45,y2,85,66,25,261
47,y2,26,90,52,194
26,y2,66,52,57,132
45,y1,89,8,85,182
43,y2,48,39,48,183
38,y2,67,76,34,210
44,y2,46,58,67,217
35,y2,35,87,19,157
51,y2,81,27,45,234
55,y2,99,46,76,320
20,y2,9,28,66,18
52,y2,74,30,24,202
39,y2,86,88,2,260
48,y1,59,95,41,195
28,y2,6,13,38,12
26,y1,91,77,84,91
56,y1,31,14,83,128
60,y1,93,40,19,152
40,y2,2,43,11,58
54,y2,46,64,33,189
30,y1,31,65,60,96
46,y2,22,63,37,144
44,y1,25,21,24,70
