x,a,b,c,result
57,15,66,35,116
32,67,19,14,86
25,36,71,42,36
33,3,36,100,39
58,56,84,53,193
23,52,88,44,52
20,35,1,91,35
45,6,43,30,79
55,81,34,39,154
47,4,94,38,136
28,81,89,96,81
38,1,26,22,27
55,38,12,6,56
56,2,15,89,106
37,92,93,55,185
26,43,73,73,43
39,33,72,41,105
52,55,96,6,157
44,95,38,41,174
40,10,89,20,119
41,77,45,92,214
43,97,39,1,137
44,60,41,13,114
31,41,51,32,92
27,4,91,48,4
26,83,51,96,83
25,79,28,83,79
42,61,84,27,172
34,56,96,73,152
32,2,37,46,39
45,59,84,91,234
24,68,3,55,68
56,39,94,72,205
36,61,82,2,143
24,63,17,72,63
57,36,78,56,170
49,83,66,54,203
59,76,75,78,229
41,13,82,75,170
46,57,70,98,225
54,76,28,98,202
27,40,90,84,40
51,26,26,61,113
21,54,10,51,54
59,2,8,57,67
43,75,55,41,171
49,44,52,54,150
26,44,47,52,44
40,72,6,11,89
37,85,54,74,139
23,56,62,80,56
27,42,97,79,42
38,23,28,23,51
28,39,33,97,39
46,35,77,96,208
27,85,51,13,85
37,24,19,4,43
35,95,58,98,153
36,6,66,28,72
24,79,12,57,79
59,16,31,60,107
59,60,97,55,212
21,11,11,53,11
52,65,26,6,97
54,38,69,5,112
38,8,89,5,97
25,90,28,38,90
47,13,96,31,140
23,43,32,9,43
53,25,54,47,126
35,61,42,51,103
41,10,85,24,119
42,78,89,91,258
60,28,64,85,177
29,52,82,8,52
30,59,67,43,126
55,85,15,52,152
25,77,74,22,77
47,37,98,59,194
33,22,37,67,59
57,16,69,2,87
45,53,9,3,65
55,69,10,55,134
39,11,15,90,26
57,38,83,75,196
40,48,68,16,132
50,83,9,50,142
31,60,75,80,135
34,29,80,56,109
56,83,85,73,241
25,58,87,37,58
52,31,36,67,134
35,71,52,44,123
49,84,36,76,196
20,24,24,97,24
25,22,25,89,22
38,40,88,69,128
35,48,15,49,63
53,41,40,68,149
40,22,32,18,72
32,79,94,96,173
55,91,77,49,217
36,46,62,87,108
50,52,73,24,149
32,10,34,52,44
22,31,50,83,31
41,77,84,8,169
56,62,22,99,183
34,50,34,95,84
45,18,30,71,119
31,5,52,50,57
24,58,5,68,58
52,17,94,84,195
41,58,79,47,184
59,43,22,88,153
36,74,4,100,78
42,11,78,44,133
37,85,18,65,103
44,33,63,81,177
44,28,27,78,133
20,32,6,80,32
30,38,46,83,84
25,58,93,22,58
47,61,17,71,149
54,33,35,85,153
25,6,97,63,6
40,80,19,53,152
44,54,23,78,155
29,63,61,22,63
58,57,57,3,117
57,57,63,93,213
44,100,12,100,212
58,49,91,62,202
40,90,31,94,215
33,95,13,84,108
25,33,72,52,33
26,30,17,54,30
36,10,57,10,67
34,49,52,93,101
58,18,79,14,111
27,18,87,38,18
49,46,63,75,184
45,8,16,32,56
42,73,31,5,109
33,56,76,64,132
52,12,44,84,140
35,93,83,97,176
20,27,35,70,27
41,81,55,96,232
58,29,75,59,163
54,47,41,72,160
26,62,76,36,62
20,22,43,79,22
24,48,27,53,48
50,31,10,7,48
44,3,8,72,83
23,7,75,27,7
51,43,26,50,119
41,60,40,5,105
36,87,20,98,107
23,52,18,63,52
47,22,35,12,69
48,20,97,28,145
38,89,69,83,158
29,75,35,94,75
31,69,80,42,149
56,12,43,82,137
36,91,74,4,165
44,35,13,47,95
42,47,35,45,127
57,33,90,39,162
21,97,15,45,97
23,99,7,90,99
39,76,22,67,98
23,47,55,1,47
59,32,39,88,159
37,52,27,38,79
37,74,13,3,87
52,72,7,1,80
48,81,26,15,122
53,47,84,47,178
25,25,53,56,25
38,70,1,61,71
24,80,94,91,80
47,87,27,29,143
52,43,97,80,220
28,98,98,72,98
42,9,98,27,134
34,98,37,91,135
23,68,18,19,68
32,48,98,14,146
44,12,36,3,51
42,37,60,88,185
50,17,75,43,135
49,56,70,77,203
22,29,63,36,29
60,80,32,20,132
60,41,33,58,132
28,26,1,93,26
51,77,49,79,205
26,99,18,22,99
52,85,94,82,261
39,61,22,88,83
29,88,53,100,88
35,74,59,77,133
41,58,77,62,197
59,67,94,51,212
54,8,12,79,99
53,32,45,12,89
44,71,49,11,131
46,92,69,42,203
43,84,83,54,221
35,34,10,94,44
57,12,14,20,46
31,86,9,47,95
56,70,72,17,159
22,45,79,84,45
41,37,89,40,166
57,9,17,21,47
35,20,65,33,85
60,36,4,83,123
29,93,18,51,93
51,61,39,7,107
38,16,28,42,44
56,29,2,92,123
27,72,78,5,72
36,51,5,70,56
39,10,53,96,63
52,27,8,90,125
26,24,54,84,24
53,79,86,41,206
23,31,2,72,31
36,86,31,1,117
33,77,1,5,78
43,48,50,65,163
54,39,9,1,49
45,70,31,28,129
38,68,44,32,112
50,48,87,10,145
59,91,54,51,196
45,48,7,90,145
31,70,80,45,150
21,78,46,66,78
39,33,39,99,72
54,25,68,14,107
47,97,89,68,254
37,81,96,80,177
48,25,27,8,60
54,34,12,9,55
23,1,7,57,1
23,43,6,81,43
21,47,36,29,47
26,23,93,15,23
37,70,81,50,151
47,31,46,15,92
54,88,16,22,126
38,7,79,35,86
21,45,53,76,45
53,21,77,45,143
33,50,88,60,138
33,87,2,20,89
41,23,88,69,180
31,76,43,89,119
41,25,27,50,102
45,79,57,88,224
39,66,41,96,107
31,30,100,6,130
41,29,17,12,58
34,67,11,6,78
26,16,36,62,16
44,79,47,67,193
51,17,88,16,121
30,78,91,99,169
48,93,26,62,181
51,33,48,91,172
39,92,3,77,95
31,50,14,18,64
48,47,33,91,171
34,25,9,5,34
49,7,84,83,174
32,97,92,42,189
35,64,12,93,76
51,47,75,32,154
56,80,10,93,183
50,26,76,3,105
21,18,55,74,18
25,77,14,15,77
46,45,7,65,117
50,89,40,34,163
60,91,51,41,183
37,54,74,89,128
45,2,29,7,38
46,45,83,1,129
37,54,31,6,85
37,23,56,32,79
39,68,81,65,149
41,91,51,20,162
58,10,75,93,178
33,85,29,86,114
54,27,25,97,149
47,42,90,45,177
40,79,50,91,220
25,55,75,9,55
48,77,9,39,125
24,54,98,78,54
31,53,15,1,68
26,70,48,30,70
50,19,80,46,145
58,6,42,65,113
47,22,65,63,150
32,14,90,70,104
41,98,69,69,236
56,20,94,65,179
37,31,51,95,82
36,73,48,63,121
46,46,79,79,204
57,39,94,18,151
24,67,48,89,67
31,35,100,38,135
23,27,77,20,27
30,77,53,7,130
53,23,47,39,109
30,87,91,92,178
48,93,43,5,141
40,4,54,6,64
24,81,34,22,81
37,54,37,90,91
57,62,62,6,130
40,51,95,58,204
54,11,50,54,115
26,72,26,13,72
59,57,30,34,121
55,86,98,37,221
41,94,79,41,214
45,27,99,95,221
48,87,72,54,213
35,76,37,58,113
38,73,50,22,123
51,7,39,17,63
31,54,48,3,102
36,76,6,83,82
32,38,17,94,55
26,15,76,85,15
20,83,50,41,83
24,92,42,39,92
60,14,14,90,118
28,97,82,25,97
54,80,25,30,135
23,14,89,52,14
53,6,82,8,96
51,63,23,75,161
28,98,47,20,98
38,46,81,4,127
51,91,32,79,202
25,45,8,97,45
51,67,12,48,127
47,82,80,1,163
37,20,4,3,24
51,72,61,22,155
27,90,6,76,90
39,82,60,72,142
54,85,46,51,182
52,66,39,40,145
47,77,32,43,152
55,69,6,99,174
41,26,58,26,110
34,83,1,89,84
40,92,11,77,180
47,38,99,76,213
21,87,51,98,87
49,68,64,93,225
23,71,91,97,71
38,96,31,77,127
57,79,31,99,209
35,3,57,7,60
43,86,87,24,197
32,21,23,27,44
55,20,92,10,122
27,14,75,8,14
24,26,82,82,26
20,8,83,86,8
31,6,44,95,50
20,88,5,38,88
36,1,20,20,21
60,17,4,44,65
31,83,60,26,143
39,15,95,70,110
39,48,79,12,127
34,10,99,87,109
43,22,100,87,209
25,80,15,87,80
32,73,59,50,132
41,5,82,45,132
39,48,44,80,92
27,64,50,33,64
38,7,84,14,91
50,66,58,70,194
27,17,69,75,17
60,23,7,61,91
44,16,13,69,98
60,97,11,29,137
47,4,75,72,151
33,87,97,8,184
54,19,43,57,119
58,59,16,18,93
56,23,3,51,77
60,98,94,3,195
51,35,42,72,149
44,46,99,83,228
46,55,84,98,237
54,67,46,87,200
31,70,40,47,110
21,92,88,23,92
27,97,42,1,97
47,48,69,5,122
57,26,74,33,133
54,78,24,57,159
37,51,47,10,98
39,63,25,23,88
55,29,26,70,125
47,89,72,90,251
36,92,100,40,192
51,48,51,51,150
55,37,91,71,199
32,67,30,99,97
30,11,28,17,39
29,33,16,44,33
56,57,51,91,199
20,2,42,97,2
21,53,57,10,53
31,5,38,43,43
25,81,45,90,81
31,35,93,58,128
25,24,78,86,24
34,82,73,95,155
47,99,89,1,189
26,73,10,37,73
25,71,40,60,71
42,13,73,65,151
58,47,91,27,165
33,98,46,38,144
43,10,92,32,134
56,5,62,18,85
24,18,48,80,18
34,76,73,87,149
51,49,90,51,190
30,51,44,94,95
29,59,90,88,59
39,17,35,57,52
42,81,12,34,127
47,99,70,98,267
56,30,79,50,159
29,96,50,76,96
58,85,56,33,174
56,30,21,98,149
46,60,96,50,206
54,27,68,20,115
60,96,51,57,204
48,56,12,73,141
60,35,8,2,45
40,76,69,71,216
25,62,45,34,62
27,21,83,20,21
52,45,74,87,206
60,86,11,96,193
37,84,53,21,137
48,51,64,43,158
59,37,65,45,147
45,75,10,52,137
41,98,31,21,150
59,16,40,43,99
31,56,33,69,89
43,96,37,5,138
23,70,61,98,70
27,54,93,14,54
26,70,34,94,70
34,76,13,81,89
37,33,49,31,82
51,51,30,26,107
27,93,63,92,93
34,33,96,78,129
24,19,8,69,19
43,57,27,45,129
32,80,72,84,152
48,43,19,11,73
31,75,49,34,124
57,11,43,31,85
59,70,84,54,208
36,1,18,84,19
55,39,1,55,95
54,56,28,48,132
30,87,31,16,118
20,12,32,7,12
35,41,63,73,104
54,61,63,99,223
50,15,92,34,141
29,63,73,75,63
58,87,90,30,207
56,22,79,13,114
54,32,79,93,204
33,42,38,29,80
37,17,65,25,82
45,70,77,77,224
32,81,69,83,150
36,8,32,19,40
50,51,34,85,170
33,42,53,3,95
45,20,13,71,104
39,96,43,62,139
48,6,100,38,144
40,1,52,39,92
28,61,3,48,61
38,6,19,82,25
37,1,11,60,12
24,92,29,53,92
24,76,51,11,76
22,27,84,10,27
44,69,41,15,125
31,79,66,17,145
53,36,86,73,195
20,22,95,34,22
32,100,84,33,184
46,59,88,6,153
54,15,87,24,126
53,11,68,23,102
54,98,49,63,210
35,96,57,55,153
33,98,29,17,127
46,67,62,7,136
34,33,18,31,51
43,38,14,26,78
43,34,85,67,186
34,56,59,89,115
39,70,25,1,95
49,45,53,96,194
47,6,11,7,24
43,32,85,57,174
30,60,54,19,114
28,15,93,59,15
36,52,84,18,136
45,52,53,33,138
22,11,25,35,11
22,81,52,100,81
42,82,77,15,174
30,90,80,29,170
41,10,31,17,58
20,62,42,1,62
48,23,20,28,71
55,58,30,52,140
26,51,39,92,51
28,86,4,27,86
21,42,33,43,42
27,13,75,23,13
44,43,100,64,207
57,21,41,36,98
27,70,99,48,70
51,41,86,34,161
38,7,59,94,66
33,73,77,68,150
48,29,49,35,113
26,69,22,36,69
21,88,85,67,88
24,33,78,19,33
50,89,61,3,153
27,5,48,36,5
28,95,91,49,95
38,38,99,55,137
50,51,51,56,158
59,46,94,59,199
47,32,14,10,56
34,63,43,78,106
36,46,66,62,112
39,84,60,24,144
39,71,43,63,114
60,31,99,31,161
20,11,48,61,11
50,67,40,42,149
53,51,24,66,141
52,5,84,68,157
49,79,56,42,177
42,14,58,66,138
50,3,41,44,88
48,17,10,86,113
47,25,83,32,140
35,39,44,45,83
45,92,60,56,208
31,44,20,100,64
60,97,52,40,189
42,53,78,53,184
46,26,83,49,158
59,85,56,87,228
33,88,38,23,126
51,30,10,81,121
22,28,3,25,28
27,58,30,56,58
46,87,83,73,243
32,70,61,49,131
47,97,19,12,128
47,24,57,22,103
52,48,83,50,181
26,89,55,30,89
45,47,55,99,201
59,35,19,80,134
21,21,83,25,21
25,38,13,57,38
57,79,63,85,227
25,47,63,97,47
30,95,72,48,167
52,87,49,15,151
42,1,53,51,105
30,13,85,18,98
41,58,1,29,88
45,28,56,15,99
38,67,78,13,145
22,100,19,28,100
26,14,37,29,14
35,12,11,26,23
43,33,2,78,113
20,75,62,30,75
25,31,4,60,31
41,7,60,60,127
57,19,8,68,95
55,36,2,49,87
50,73,78,95,246
24,91,7,21,91
44,25,87,37,149
47,4,65,94,163
46,49,18,39,106
28,65,40,65,65
33,4,11,37,15
59,12,16,66,94
24,42,61,20,42
35,13,87,46,100
60,99,87,37,223
40,32,90,25,147
53,40,31,24,95
56,58,16,79,153
33,90,36,85,126
29,100,43,28,100
34,82,11,85,93
36,6,43,37,49
54,92,29,70,191
43,13,20,54,87
21,3,42,99,3
22,41,12,38,41
32,78,24,40,102
52,65,83,10,158
52,17,25,81,123
35,34,39,76,73
31,48,58,22,106
53,52,5,99,156
21,66,99,86,66
56,51,75,23,149
46,18,43,100,161
20,2,19,17,2
50,36,3,5,44
25,94,21,50,94
56,45,12,72,129
21,9,76,4,9
28,94,42,16,94
40,63,67,46,176
57,48,1,24,73
53,31,93,73,197
33,67,75,68,142
25,15,53,66,15
48,44,73,94,211
22,98,82,98,98
59,29,23,38,90
25,70,35,19,70
26,9,96,55,9
31,65,96,90,161
29,87,70,97,87
41,19,100,85,204
36,95,81,62,176
35,34,56,28,90
26,23,68,29,23
31,2,99,51,101
46,25,76,17,118
23,50,27,97,50
29,25,5,62,25
21,93,63,39,93
42,98,44,39,181
26,67,4,61,67
44,80,80,9,169
31,30,15,54,45
54,49,42,43,134
30,16,81,97,97
54,27,76,67,170
34,93,9,35,102
35,86,33,26,119
26,92,67,69,92
36,93,49,11,142
43,66,83,57,206
47,17,49,17,83
38,1,21,89,22
33,67,80,95,147
32,56,61,37,117
36,34,94,48,128
42,57,97,100,254
20,6,53,66,6
56,79,20,87,186
30,33,33,83,66
20,78,25,2,78
28,49,27,3,49
48,16,74,55,145
40,3,56,24,83
41,56,34,96,186
26,47,28,1,47
30,98,38,49,136
57,42,83,20,145
36,21,93,77,114
55,24,44,31,99
43,86,4,28,118
30,31,92,87,123
56,77,28,50,155
50,32,37,88,157
51,30,60,45,135
45,63,89,95,247
41,26,46,24,96
31,69,62,88,131
38,81,15,100,96
54,37,55,89,181
39,30,38,2,68
31,56,83,67,139
40,67,1,37,105
40,78,18,85,181
42,86,8,16,110
22,18,18,74,18
58,64,50,42,156
49,35,94,12,141
55,82,98,19,199
52,27,48,83,158
56,41,58,43,142
51,35,88,35,158
60,79,77,10,166
55,63,47,94,204
23,53,43,29,53
20,42,18,71,42
34,96,13,49,109
54,63,94,68,225
57,30,44,81,155
31,78,55,38,133
59,11,31,37,79
58,67,74,33,174
23,68,56,4,68
34,23,34,23,57
27,51,12,19,51
54,73,65,65,203
43,24,95,96,215
24,10,87,48,10
56,20,86,22,128
55,6,12,23,41
27,15,60,91,15
59,73,67,36,176
22,8,30,50,8
23,2,29,85,2
49,29,92,26,147
41,40,75,11,126
51,68,83,19,170
42,39,75,32,146
57,30,22,5,57
48,74,69,92,235
48,96,91,69,256
28,10,45,98,10
44,90,84,27,201
43,47,64,48,159
60,43,14,17,74
44,21,5,60,86
45,66,84,38,188
27,100,76,62,100
27,25,91,74,25
46,21,84,62,167
56,35,99,15,149
21,57,31,52,57
56,17,52,78,147
48,46,72,99,217
28,26,63,49,26
38,38,49,59,87
32,28,19,22,47
27,36,65,37,36
55,4,11,72,87
49,24,96,72,192
55,77,84,48,209
53,96,33,38,167
55,52,84,73,209
40,5,11,43,59
35,85,9,27,94
20,59,14,88,59
29,32,27,28,32
34,73,55,12,128
23,65,41,78,65
22,34,41,37,34
56,68,49,29,146
43,66,17,97,180
53,64,11,78,153
57,88,60,57,205
44,52,72,48,172
51,64,71,100,235
22,6,15,66,6
34,32,76,64,108
59,11,44,83,138
39,1,27,54,28
53,59,48,18,125
42,81,20,59,160
53,10,78,63,151
23,15,80,62,15
53,56,44,20,120
34,88,12,54,100
31,56,66,43,122
35,8,22,45,30
43,39,85,66,190
26,94,64,74,94
20,13,95,100,13
35,4,21,16,25
55,37,49,7,93
25,95,40,2,95
39,2,79,2,81
45,58,87,78,223
45,65,94,65,224
52,71,52,95,218
60,32,94,94,220
21,20,80,85,20
59,11,45,18,74
21,93,88,89,93
47,72,98,60,230
28,71,37,100,71
41,59,46,65,170
20,96,49,77,96
35,86,52,66,138
40,34,81,98,213
52,97,29,74,200
51,4,93,7,104
32,72,47,33,119
34,8,30,59,38
40,53,95,6,154
29,8,66,83,8
20,13,24,87,13
52,75,33,47,155
37,85,74,9,159
29,95,88,31,95
56,91,5,3,99
49,36,6,50,92
27,79,2,12,79
51,5,28,27,60
48,27,33,100,160
51,91,48,73,212
52,79,70,72,221
21,18,69,77,18
40,98,70,75,243
29,45,92,39,45
29,45,71,25,45
36,94,18,40,112
33,20,64,78,84
52,48,67,65,180
23,24,6,92,24
50,58,73,54,185
53,19,76,88,183
21,33,89,59,33
59,42,2,52,96
29,56,65,18,56
54,1,39,6,46
59,75,17,54,146
59,58,9,29,96
27,89,52,95,89
50,82,99,82,263
37,35,85,17,120
24,91,28,26,91
45,62,94,95,251
26,33,3,7,33
20,7,93,96,7
56,31,46,78,155
35,38,75,3,113
34,73,36,6,109
36,100,2,23,102
41,15,21,25,61
60,69,94,64,227
25,3,32,46,3
46,38,27,30,95
30,51,27,3,78
51,41,75,78,194
28,92,4,92,92
41,2,26,38,66
42,55,66,82,203
53,65,8,42,115
34,84,66,74,150
40,80,32,73,185
28,38,38,11,38
57,28,24,43,95
58,17,48,89,154
28,66,53,66,66
40,25,52,52,129
52,55,51,29,135
54,74,8,87,169
38,52,83,66,135
38,2,29,87,31
57,67,57,42,166
20,1,59,27,1
48,74,68,98,240
30,79,3,88,82
37,40,33,91,73
43,31,80,63,174
25,71,55,37,71
45,95,30,92,217
31,49,43,60,92
37,47,61,88,108
27,48,34,53,48
33,15,4,51,19
37,24,90,43,114
38,69,69,13,138
43,76,14,51,141
55,53,86,56,195
26,7,35,87,7
26,59,59,14,59
22,65,13,37,65
58,55,15,23,93
55,3,80,44,127
34,47,10,42,57
52,59,82,91,232
25,8,50,39,8
42,94,86,91,271
60,37,5,84,126
21,50,37,90,50
55,69,5,4,78
29,44,34,57,44
26,43,32,46,43
32,91,78,16,169
21,47,62,58,47
38,81,77,79,158
24,38,15,34,38
37,81,37,93,118
47,35,23,30,88
55,72,8,79,159
27,41,44,80,41
60,96,52,16,164
33,79,31,52,110
31,20,36,77,56
21,62,77,13,62
29,33,54,53,33
53,4,4,95,103
32,78,54,60,132
51,73,66,54,193
36,13,57,96,70
43,7,46,36,89
59,92,96,57,245
60,57,64,43,164
49,77,87,37,201
34,26,84,10,110
21,41,74,37,41
30,58,68,88,126
30,79,62,81,141
34,75,27,48,102
28,79,58,65,79
60,5,59,98,162
47,34,98,81,213
55,38,95,5,138
60,42,11,95,148
32,92,5,66,97
48,72,59,98,229
54,70,63,58,191
48,57,91,25,173
31,20,84,97,104
44,87,49,51,187
54,89,96,71,256
33,60,74,92,134
28,34,45,52,34
20,35,46,11,35
39,82,12,79,94
60,90,46,27,163
31,28,71,9,99
20,99,58,97,99
27,49,95,99,49
45,5,86,43,134
24,65,25,10,65
22,79,14,5,79
56,72,89,58,219
34,30,45,24,75
27,48,14,19,48
41,14,47,4,65
60,71,46,7,124
39,25,81,64,106
33,66,89,19,155
54,52,68,96,216
33,99,44,10,143
36,39,31,40,70
44,90,57,33,180
43,28,43,35,106
30,63,97,60,160
44,31,55,20,106
45,36,97,73,206
53,82,54,100,236
59,33,60,34,127
38,13,4,80,17
58,25,57,99,181
24,2,9,81,2
54,19,55,18,92
23,19,90,89,19
42,35,28,89,152
48,37,87,73,197
46,21,92,73,186
42,85,35,53,173
24,16,16,18,16
23,35,97,53,35
37,25,20,87,45
33,48,93,28,141
37,26,60,68,86
39,63,36,70,99
43,17,53,57,127
20,8,15,33,8
43,7,44,3,54
58,67,92,43,202
34,23,41,4,64
31,16,28,16,44
43,39,67,28,134
30,47,54,71,101
25,47,25,38,47
29,59,56,32,59
22,94,6,53,94
38,30,56,9,86
38,45,48,69,93
34,71,62,37,133
56,45,52,67,164
20,22,29,35,22
51,39,14,42,95
35,23,49,70,72
52,69,64,88,221
50,71,80,27,178
52,65,43,16,124
52,87,96,55,238
24,24,2,96,24
41,61,27,63,151
34,55,16,12,71
34,96,18,78,114
33,10,97,8,107
60,98,92,61,251
53,95,15,87,197
60,65,99,71,235
57,91,72,24,187
40,70,5,49,124
24,22,19,64,22
38,49,67,69,116
60,58,74,74,206
47,79,35,50,164
30,16,47,10,63
58,29,49,57,135
26,80,94,30,80
26,16,84,60,16
26,33,16,69,33
33,30,68,61,98
40,30,1,91,122
35,70,93,44,163
38,53,24,10,77
50,91,46,90,227
35,70,87,57,157
59,86,72,8,166
47,91,43,58,192
43,56,24,36,116
58,62,12,84,158
43,87,58,54,199
40,59,11,38,108
24,39,62,65,39
41,8,29,47,84
45,74,18,83,175
20,38,61,74,38
43,54,88,74,216
40,89,7,25,121
25,24,17,72,24
48,21,22,73,116
41,43,85,66,194
35,80,68,14,148
51,40,8,3,51
45,87,33,79,199
21,11,15,19,11
47,37,46,35,118
50,13,27,92,132
23,58,93,89,58
46,54,7,93,154
54,71,56,89,216
36,36,63,34,99
59,80,92,63,235
57,44,53,7,104
24,30,94,46,30
37,74,13,21,87
22,50,68,11,50
51,97,51,61,209
31,28,30,49,58
21,61,10,92,61
58,42,56,82,180
40,97,11,34,142
20,15,48,34,15
41,15,40,27,82
44,11,85,82,178
54,91,16,41,148
43,84,63,5,152
48,68,72,80,220
48,59,45,11,115
32,79,61,21,140
60,29,65,49,143
58,53,14,79,146
48,46,2,94,142
26,45,29,54,45
27,87,96,3,87
34,57,77,46,134
57,62,57,82,201
20,18,69,71,18
34,53,96,84,149
24,88,28,98,88
34,51,86,62,137
26,70,54,85,70
29,78,56,38,78
20,2,37,82,2
35,86,22,74,108
20,58,88,82,58
58,8,58,15,81
48,55,95,50,200
39,48,64,19,112
58,16,67,82,165
46,97,38,57,192
36,23,58,71,81
42,36,25,39,100
58,61,78,2,141
24,21,26,80,21
46,8,99,18,125
21,96,52,57,96
22,40,25,99,40
46,60,21,76,157
51,10,27,100,137
46,85,24,68,177
58,66,25,52,143
57,44,59,50,153
48,49,15,49,113
42,36,91,10,137
34,74,80,30,154
42,35,31,78,144
39,19,65,74,84
59,65,91,87,243
41,80,60,87,227
45,78,38,96,212
36,43,47,94,90
26,71,62,21,71
36,87,9,70,96
34,21,16,85,37
60,43,29,91,163
49,5,93,31,129
32,97,41,80,138
44,97,30,18,145
31,56,15,57,71
32,49,88,62,137
27,70,90,40,70
38,7,13,15,20
42,9,82,83,174
56,36,88,18,142
24,93,20,54,93
21,91,33,3,91
22,91,70,79,91
59,32,93,74,199
47,58,43,63,164
30,49,53,94,102
25,16,23,79,16
39,72,43,54,115
33,65,3,40,68
37,65,24,92,89
20,33,91,98,33
43,71,18,29,118
51,11,58,94,163
28,7,65,13,7
47,25,75,23,123
47,1,36,24,61
43,61,8,63,132
52,65,27,90,182
52,33,17,86,136
32,14,32,57,46
56,80,34,22,136
24,4,2,17,4
54,67,10,22,99
53,47,64,23,134
23,5,29,29,5
35,90,78,20,168
59,55,4,42,101
59,76,30,60,166
41,91,3,72,166
42,14,70,13,97
26,61,21,68,61
46,40,86,97,223
35,53,93,53,146
39,93,83,54,176
20,12,67,77,12
55,61,83,82,226
21,54,89,85,54
58,27,91,85,203
52,72,73,95,240
40,34,56,24,114
53,67,60,60,187
59,23,49,37,109
32,65,60,45,125
48,19,59,71,149
43,46,73,45,164
38,45,92,17,137
50,72,23,54,149
56,61,22,90,173
37,96,1,14,97
42,49,29,23,101
43,61,5,70,136
57,63,54,33,150
20,18,44,58,18
30,49,90,70,139
46,17,13,72,102
43,14,54,91,159
35,99,84,70,183
39,56,65,38,121
57,69,8,56,133
23,66,95,88,66
20,39,8,89,39
56,16,7,46,69
44,54,85,1,140
21,100,9,41,100
37,99,47,18,146
57,42,2,66,110
39,19,64,48,83
53,67,92,75,234
28,76,88,53,76
45,33,77,70,180
43,94,39,59,192
58,64,40,65,169
50,70,56,20,146
35,97,20,68,117
20,61,76,34,61
48,23,21,92,136
31,48,51,12,99
28,50,55,30,50
49,75,83,17,175
33,92,54,25,146
37,22,66,79,88
44,15,32,28,75
36,47,65,38,112
29,76,45,53,76
40,2,28,95,125
53,61,49,7,117
23,17,64,91,17
32,84,84,54,168
52,71,18,91,180
28,20,90,36,20
59,94,43,35,172
33,38,20,10,58
55,37,74,94,205
57,33,32,12,77
48,62,16,31,109
59,91,44,88,223
52,15,66,80,161
41,58,55,81,194
35,61,54,32,115
56,72,75,17,164
33,17,11,40,28
28,87,40,32,87
43,78,12,96,186
37,48,94,45,142
30,5,2,52,7
56,40,15,14,69
21,44,32,10,44
52,22,28,10,60
26,11,94,67,11
29,20,26,21,20
59,57,79,42,178
28,49,79,84,49
37,45,78,96,123
24,43,4,5,43
38,52,78,94,130
50,83,27,65,175
56,89,41,2,132
49,63,1,90,154
60,10,13,19,42
29,44,78,2,44
45,58,71,73,202
24,25,68,20,25
25,96,87,96,96
31,24,30,11,54
33,47,24,76,71
37,45,72,92,117
43,63,17,6,86
51,42,30,93,165
47,61,29,59,149
33,10,3,94,13
48,50,28,47,125
54,42,98,22,162
26,36,67,30,36
28,39,2,89,39
45,5,71,3,79
25,29,53,37,29
33,98,73,34,171
20,38,60,87,38
20,33,82,12,33
25,61,99,54,61
54,93,96,91,280
54,4,88,9,101
26,73,42,23,73
21,70,69,2,70
60,87,37,98,222
56,69,90,29,188
24,93,82,15,93
56,85,13,59,157
54,1,42,67,110
39,27,59,95,86
45,71,61,72,204
46,9,67,68,144
42,44,8,9,61
42,62,2,53,117
39,30,98,100,128
57,10,31,58,99
52,97,95,96,288
58,36,37,18,91
39,44,74,46,118
58,95,9,59,163
41,46,61,46,153
48,58,81,37,176
33,83,97,6,180
37,92,52,92,144
24,27,72,58,27
34,71,3,60,74
60,64,86,58,208
58,2,26,26,54
32,93,12,57,105
50,28,37,11,76
41,64,94,74,232
56,18,14,47,79
39,10,66,97,76
27,19,13,64,19
24,14,68,90,14
53,60,90,54,204
38,84,84,42,168
38,58,4,20,62
39,60,82,36,142
55,98,74,81,253
57,51,64,31,146
45,75,63,61,199
21,8,25,30,8
37,13,89,46,102
33,22,48,86,70
22,14,64,14,14
55,38,5,31,74
50,10,11,100,121
21,36,47,16,36
20,70,62,76,70
58,48,82,12,142
53,40,91,85,216
58,76,78,44,198
41,12,81,53,146
42,57,34,18,109
46,46,64,68,178
53,92,70,76,238
43,70,33,64,167
36,49,23,91,72
35,1,65,15,66
29,6,69,43,6
43,4,11,63,78
57,6,79,43,128
24,96,97,57,96
60,13,59,33,105
53,60,21,57,138
40,19,49,21,89
57,67,77,57,201
60,100,83,80,263
58,79,28,80,187
59,30,66,70,166
58,11,44,71,126
37,79,96,81,175
22,6,86,98,6
30,59,62,81,121
44,43,97,26,166
29,28,4,56,28
41,83,97,29,209
26,85,18,16,85
31,84,66,96,150
51,3,8,53,64
50,66,94,71,231
32,68,69,68,137
34,59,26,80,85
51,39,74,35,148
40,97,99,44,240
52,10,41,79,130
20,84,16,10,84
22,89,41,50,89
54,82,91,2,175
52,86,91,18,195
20,60,3,60,60
30,22,8,24,30
24,35,94,93,35
27,70,91,29,70
32,87,14,62,101
41,27,7,66,100
34,57,99,93,156
41,59,18,25,102
59,77,84,63,224
58,24,60,50,134
54,79,73,91,243
28,60,64,29,60
31,23,88,98,111
49,43,34,1,78
43,60,14,91,165
28,82,43,11,82
57,9,23,24,56
